params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'b:a': '233k'}",90.8935546875,-3.849,-3.437,0.6747695900048711,-1.3319093279354222
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '0', 'b:a': '122k', 'abr': 'True'}",175.0224609375,-3.082,-1.302,1.0220123609979055,0.9687494605217704
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '1', 'b:a': '32k'}",45.359375,-3.857,-3.498,0.36264842899981886,-1.274064737794959
"{'ar': '24000', 'sample_fmt': 's32p', 'compression_level': '3', 'reservoir': '1', 'aq': '9'}",71.046875,-3.735,-2.782,0.4336962199959089,-0.8101840833517229
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '9', 'reservoir': '1', 'aq': '9'}",71.0234375,-3.724,-2.734,0.3880326119979145,-0.7660002359505284
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '1', 'reservoir': '0', 'b:a': '293k', 'abr': 'True'}",80.046875,-3.764,-2.916,0.526215530007903,-0.9412230583341882
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '1', 'aq': '9'}",60.4765625,-3.818,-3.217,0.4413748309962102,-1.1244942062715895
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '1', 'b:a': '158k', 'abr': 'True'}",74.8427734375,-3.845,-3.408,0.5325644219992682,-1.27731882435226
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '1', 'b:a': '32k'}",44.796875,-3.421,-1.873,1.0887274670021725,0.2016390347142067
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '0', 'b:a': '76k'}",111.875,-3.75,-2.85,0.8107582509983331,-0.9596020608561776
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '1', 'b:a': '203k'}",267.6279296875,-2.634,-0.752,0.4485442549994332,2.0806831518878344
"{'ar': '32000', 'sample_fmt': 'fltp', 'compression_level': '9', 'reservoir': '1', 'b:a': '246k', 'abr': 'True'}",340.953125,-3.172,-1.434,0.42922818799706874,0.4964592482571666
"{'ar': '22050', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '1', 'b:a': '166k', 'abr': 'True'}",153.3837890625,-3.677,-2.556,0.9281531859960523,-0.7716829310976776
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'aq': '9'}",36.8515625,-3.855,-3.486,0.3797963469987735,-1.2533111980911265
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '0', 'b:a': '306k'}",445.9951171875,-2.595,-0.709,0.7459962990033091,1.878515690917714
"{'ar': '11025', 'sample_fmt': 's16p', 'compression_level': '4', 'reservoir': '1', 'b:a': '127k', 'abr': 'True'}",81.138671875,-3.849,-3.433,0.37793811700248625,-1.2931423012665675
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '0', 'b:a': '32k'}",45.1787109375,-3.838,-3.355,0.48788237399276113,-1.193653489940985
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '0', 'b:a': '137k', 'abr': 'True'}",176.2109375,-3.671,-2.535,0.5225174369988963,-0.7575214401649207
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '7', 'reservoir': '0', 'b:a': '32k', 'abr': 'True'}",48.162109375,-3.837,-3.347,0.43702210199990077,-1.1898011584831905
"{'ar': '48000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '0', 'b:a': '286k'}",357.078125,-3.517,-2.089,0.8356775829961407,-0.569766503991635
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '0', 'b:a': '257k'}",90.8935546875,-3.848,-3.431,0.38235396800155286,-1.3060733561709752
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '0', 'b:a': '136k'}",179.515625,-3.767,-2.928,0.4432157049959642,-1.1045823797866745
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '7', 'reservoir': '0', 'b:a': '56k', 'abr': 'True'}",80.609375,-3.739,-2.798,0.506118206998508,-0.8451626303454745
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'aq': '9'}",47.0185546875,-3.841,-3.374,0.3605411560056382,-1.2001606294281246
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '1', 'aq': '9'}",103.837890625,-3.343,-1.721,0.4582721769984346,0.38371297709205093
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '0', 'b:a': '256k'}",90.640625,-3.765,-2.92,0.4899247720022686,-0.9590365469626871
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '3', 'reservoir': '1', 'b:a': '191k', 'abr': 'True'}",82.0625,-3.756,-2.877,0.3831279780060868,-0.9029209248026152
"{'ar': '11025', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '0', 'aq': '9'}",53.1025390625,-3.841,-3.373,0.37374914200336207,-1.2105294099645079
"{'ar': '22050', 'sample_fmt': 's32p', 'compression_level': '7', 'reservoir': '1', 'b:a': '232k', 'abr': 'True'}",219.953125,-3.677,-2.553,0.3879417420030222,-0.837030300544401
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '1', 'b:a': '228k', 'abr': 'True'}",149.9140625,-3.742,-2.813,0.5871198940003524,-0.973458425668363
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '0', 'b:a': '36k'}",44.84765625,-3.681,-2.567,0.4497549650041037,-0.5759256644781519
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",97.146484375,-3.315,-1.67,0.5605649429926416,0.46815610160800153
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '0', 'b:a': '194k'}",223.671875,-3.66,-2.496,0.46430793900071876,-0.7910185520508086
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '0', 'b:a': '168k', 'abr': 'True'}",238.578125,-3.192,-1.466,0.4960278569997172,0.5981846300853615
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '0', 'aq': '9'}",40.578125,-3.85,-3.441,0.35844920000090497,-1.2318343951044395
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '1', 'b:a': '167k', 'abr': 'True'}",81.734375,-3.755,-2.872,0.3642838439991465,-0.8970972930847398
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '3', 'reservoir': '0', 'b:a': '255k'}",90.8935546875,-3.848,-3.428,0.47090665599534987,-1.3116721659641024
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '1', 'b:a': '90k', 'abr': 'True'}",119.6796875,-3.596,-2.295,0.5304968679993181,-0.4174509523234709
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '1', 'b:a': '105k', 'abr': 'True'}",83.119140625,-3.848,-3.431,0.39461281600233633,-1.2945740856829058
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '1', 'b:a': '82k'}",90.171875,-3.755,-2.874,0.36154309699486475,-0.9109890534962682
"{'ar': '44100', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '0', 'b:a': '52k'}",67.015625,-3.371,-1.775,0.4079536529898178,0.36391513710707796
