params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '6', 'reservoir': '0', 'aq': '9'}",77.28125,-3.735,-2.784,0.6822933369985549,-0.8391375028756543
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '0', 'b:a': '212k', 'abr': 'True'}",223.2265625,-3.663,-2.504,0.3793816239995067,-0.7935443141212186
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '1', 'b:a': '87k'}",112.2265625,-3.767,-2.93,0.40182469700084766,-0.9947831921218695
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '9', 'reservoir': '0', 'b:a': '283k', 'abr': 'True'}",445.4091796875,-2.598,-0.712,0.42746496600011596,1.8950580330426914
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '1', 'b:a': '96k', 'abr': 'True'}",127.484375,-3.735,-2.783,0.553003078995971,-0.9093731776902599
"{'ar': '12000', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'b:a': '106k', 'abr': 'True'}",88.25,-3.742,-2.811,0.3459917659929488,-0.8566098701606882
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '1', 'aq': '9'}",83.046875,-3.54,-2.146,0.3959495299932314,-0.17157266572408414
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '1', 'b:a': '69k'}",89.796875,-3.786,-3.028,0.3402594079962,-1.0296262081677303
"{'ar': '8000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '0', 'b:a': '232k', 'abr': 'True'}",90.078125,-3.858,-3.509,0.3482586860045558,-1.3501572573042089
"{'ar': '11025', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '1', 'aq': '9'}",47.0693359375,-3.841,-3.373,0.3427172080046148,-1.1986087813689235
"{'ar': '22050', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '0', 'aq': '9'}",75.0888671875,-3.731,-2.763,0.380920839997998,-0.7974195053045057
"{'ar': '22050', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '0', 'b:a': '108k', 'abr': 'True'}",158.90234375,-3.689,-2.599,0.3645393960032379,-0.7803543354783523
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '3', 'reservoir': '1', 'b:a': '144k'}",91.34375,-3.858,-3.51,0.3547831030009547,-1.352974467241981
