params,file_size,peaq_score,distortion_index,processing_time,fitness
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '1', 'b:a': '75k'}",90.78125,-3.858,-3.514,0.787582516000839,-1.385328194603718
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '1', 'b:a': '255k', 'abr': 'True'}",73.34375,-3.858,-3.505,0.46196372100166627,-1.3305972414132137
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '1', 'reservoir': '0', 'aq': '9'}",51.1103515625,-3.834,-3.322,0.40463747899775626,-1.1772356494216782
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '0', 'b:a': '238k'}",312.453125,-3.525,-2.107,0.6629581890010741,-0.5101115355024451
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '9', 'reservoir': '0', 'aq': '9'}",74.423828125,-3.724,-2.735,0.4918989120014885,-0.7794186356567798
"{'ar': '11025', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '1', 'b:a': '303k'}",90.8935546875,-3.844,-3.396,0.6482330960025138,-1.3053644550636734
"{'ar': '32000', 'sample_fmt': 'fltp', 'compression_level': '6', 'reservoir': '0', 'b:a': '245k'}",357.828125,-3.177,-1.442,0.4845593119971454,0.45126936831590153
"{'ar': '32000', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '0', 'aq': '9'}",90.88671875,-3.54,-2.146,0.44239217600261327,-0.18751513707289835
"{'ar': '11025', 'sample_fmt': 's16p', 'compression_level': '3', 'reservoir': '1', 'b:a': '104k', 'abr': 'True'}",81.3916015625,-3.849,-3.432,0.41014775200164877,-1.2956111409923519
"{'ar': '44100', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '0', 'aq': '9'}",112.5185546875,-3.343,-1.721,0.4604836949984019,0.36969808899431206
"{'ar': '32000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '0', 'b:a': '221k', 'abr': 'True'}",312.40625,-3.172,-1.435,0.5995848790007585,0.5291034727056575
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '9', 'reservoir': '1', 'b:a': '292k', 'abr': 'True'}",219.69921875,-3.677,-2.553,0.404717906996666,-0.8378651261524922
"{'ar': '32000', 'sample_fmt': 's16p', 'compression_level': '3', 'reservoir': '1', 'b:a': '128k', 'abr': 'True'}",170.1640625,-3.288,-1.623,0.6467229629997746,0.42301121509132367
"{'ar': '16000', 'sample_fmt': 's16p', 'compression_level': '3', 'reservoir': '1', 'b:a': '61k', 'abr': 'True'}",81.921875,-3.833,-3.315,0.4550043340022967,-1.2255851199479093
"{'ar': '22050', 'sample_fmt': 's16p', 'compression_level': '1', 'reservoir': '1', 'b:a': '32k', 'abr': 'True'}",45.2744140625,-3.691,-2.605,0.6352120979972824,-0.6256010972336862
"{'ar': '16000', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '0', 'b:a': '240k'}",224.375,-3.763,-2.911,0.4137105720001273,-1.159299542863519
"{'ar': '11025', 'sample_fmt': 's32p', 'compression_level': '3', 'reservoir': '1', 'b:a': '73k'}",90.3837890625,-3.848,-3.428,0.3836811580003996,-1.3044116624273283
"{'ar': '8000', 'sample_fmt': 's16p', 'compression_level': '9', 'reservoir': '1', 'b:a': '109k', 'abr': 'True'}",89.796875,-3.858,-3.51,0.3524745590002567,-1.350335542395498
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '7', 'reservoir': '1', 'aq': '9'}",71.046875,-3.725,-2.739,0.3763012790004723,-0.7690777675026471
"{'ar': '22050', 'sample_fmt': 'fltp', 'compression_level': '4', 'reservoir': '1', 'b:a': '204k'}",223.546875,-3.676,-2.549,0.44864841000162414,-0.8436599539832622
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '1', 'b:a': '295k'}",91.484375,-3.858,-3.511,0.3673561850009719,-1.3544436288028627
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '4', 'reservoir': '0', 'b:a': '123k'}",90.453125,-3.759,-2.893,0.3843938629979675,-0.9284402614117547
"{'ar': '24000', 'sample_fmt': 's16p', 'compression_level': '8', 'reservoir': '0', 'aq': '9'}",75.6640625,-3.725,-2.739,0.3901921550022962,-0.7774719649610402
"{'ar': '11025', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '1', 'b:a': '217k'}",90.8935546875,-3.846,-3.415,0.47496638400116353,-1.3032113972069443
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '1', 'b:a': '223k', 'abr': 'True'}",298.484375,-3.17,-1.431,0.4558773540011316,0.567861663595244
"{'ar': '48000', 'sample_fmt': 's16p', 'compression_level': '0', 'reservoir': '1', 'aq': '9'}",109.203125,-3.336,-1.708,0.4317566319987236,0.3975222271998909
"{'ar': '24000', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '1', 'aq': '9'}",72.03125,-3.735,-2.782,0.3779991749979672,-0.8076380861824707
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '1', 'reservoir': '1', 'aq': '9'}",35.8671875,-3.85,-3.441,0.35349553800188005,-1.2239511793976794
"{'ar': '32000', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '0', 'b:a': '168k', 'abr': 'True'}",233.65625,-3.192,-1.466,0.5021628100002999,0.605584839723106
"{'ar': '32000', 'sample_fmt': 'fltp', 'compression_level': '8', 'reservoir': '1', 'b:a': '219k'}",313.109375,-3.175,-1.439,0.39080082799773663,0.5351617063170888
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '4', 'reservoir': '0', 'b:a': '211k'}",312.220703125,-2.597,-0.712,0.5389021940027305,2.101675461548073
"{'ar': '24000', 'sample_fmt': 'fltp', 'compression_level': '0', 'reservoir': '1', 'b:a': '174k'}",223.671875,-3.667,-2.518,0.956564135998633,-0.8506522796552745
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '2', 'reservoir': '1', 'b:a': '236k'}",90.640625,-3.765,-2.919,0.4994532459968468,-0.9594253655971482
"{'ar': '8000', 'sample_fmt': 's32p', 'compression_level': '9', 'reservoir': '1', 'b:a': '33k', 'abr': 'True'}",45.78125,-3.856,-3.494,0.37843676099873846,-1.2723130985644668
"{'ar': '16000', 'sample_fmt': 's32p', 'compression_level': '6', 'reservoir': '0', 'aq': '9'}",65.609375,-3.818,-3.218,0.4032817149964103,-1.1301843396592277
"{'ar': '24000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '0', 'b:a': '177k'}",223.671875,-3.66,-2.496,0.458580176000396,-0.7905951965386572
"{'ar': '44100', 'sample_fmt': 's32p', 'compression_level': '0', 'reservoir': '0', 'b:a': '126k'}",178.4443359375,-2.937,-1.107,1.2307870209951943,1.3472135334138673
"{'ar': '12000', 'sample_fmt': 'fltp', 'compression_level': '5', 'reservoir': '1', 'b:a': '132k', 'abr': 'True'}",82.34375,-3.759,-2.892,0.4749457770049048,-0.9218779139173072
"{'ar': '22050', 'sample_fmt': 's32p', 'compression_level': '8', 'reservoir': '0', 'b:a': '122k', 'abr': 'True'}",180.2998046875,-3.683,-2.576,0.40731435300040175,-0.7964239568250943
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '2', 'reservoir': '1', 'b:a': '57k', 'abr': 'True'}",67.296875,-3.767,-2.931,0.4780757160006033,-0.9290418714880535
"{'ar': '48000', 'sample_fmt': 'fltp', 'compression_level': '3', 'reservoir': '0', 'b:a': '163k', 'abr': 'True'}",233.84375,-3.553,-2.178,0.6540299410007719,-0.4716532318426242
"{'ar': '24000', 'sample_fmt': 's32p', 'compression_level': '5', 'reservoir': '0', 'b:a': '293k'}",223.671875,-3.66,-2.496,0.4166261719983595,-0.7874942548882979
"{'ar': '32000', 'sample_fmt': 'fltp', 'compression_level': '7', 'reservoir': '0', 'b:a': '249k'}",357.828125,-3.177,-1.442,0.38568835600017337,0.4585772063341027
"{'ar': '12000', 'sample_fmt': 's16p', 'compression_level': '4', 'reservoir': '1', 'aq': '9'}",49.765625,-3.768,-2.936,0.40055800099798944,-0.8992455479377316
